Symptoms,Medicines
"sore throat, sneezing, runny nose, allergy","cetirizine, azithromycin"
"bacterial infection, runny nose, headache, swelling","cetirizine, azithromycin, diclofenac"
"headache, sore throat, allergy, acidity","cetirizine, azithromycin, diclofenac, aciloc"
runny nose,cetirizine
"fever, acidity, sneezing","paracetamol, cetirizine, aciloc"
"swelling, cough, cold","cetirizine, azithromycin, diclofenac"
"cough, allergy, stomach pain, sneezing","cetirizine, azithromycin, aciloc"
"swelling, stomach pain","diclofenac, aciloc"
"swelling, runny nose","cetirizine, diclofenac"
acidity,aciloc
"body pain, sneezing","cetirizine, diclofenac"
"cold, sore throat, bacterial infection, fever","paracetamol, cetirizine, azithromycin"
bacterial infection,azithromycin
"allergy, cough, fever","paracetamol, cetirizine, azithromycin"
"allergy, cold",cetirizine
"bacterial infection, body pain, allergy, fever","paracetamol, cetirizine, azithromycin"
"allergy, inflammation, body pain","cetirizine, diclofenac"
body pain,diclofenac
fever,paracetamol
runny nose,cetirizine
"cough, sore throat, fever, headache, inflammation","paracetamol, azithromycin, diclofenac"
"bacterial infection, inflammation, sneezing, stomach pain, sore throat","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, runny nose, sneezing, allergy, sore throat","cetirizine, azithromycin, diclofenac"
"allergy, swelling, fever, acidity, body pain","paracetamol, cetirizine, diclofenac, aciloc"
headache,diclofenac
"sneezing, sore throat, cold, bacterial infection","cetirizine, azithromycin"
"fever, bacterial infection, headache, stomach pain, sneezing","paracetamol, cetirizine, azithromycin, aciloc"
"sneezing, body pain","cetirizine, diclofenac"
"fever, sore throat, cold, inflammation, cough","paracetamol, cetirizine, azithromycin, diclofenac"
inflammation,diclofenac
fever,paracetamol
"swelling, body pain, fever, runny nose, headache","paracetamol, cetirizine, diclofenac"
"cough, stomach pain, sneezing, cold, swelling","cetirizine, azithromycin, diclofenac, aciloc"
"headache, cough","azithromycin, diclofenac"
"sore throat, sneezing, swelling, allergy, acidity","cetirizine, azithromycin, diclofenac, aciloc"
fever,paracetamol
"stomach pain, swelling, inflammation, allergy, body pain","cetirizine, diclofenac, aciloc"
"runny nose, fever, bacterial infection","paracetamol, cetirizine, azithromycin"
"bacterial infection, cold, sneezing, runny nose","cetirizine, azithromycin"
"body pain, fever, inflammation","paracetamol, diclofenac"
"acidity, cough","azithromycin, aciloc"
sneezing,cetirizine
"runny nose, stomach pain, cough, acidity","cetirizine, azithromycin, aciloc"
"stomach pain, headache","diclofenac, aciloc"
cold,cetirizine
"sneezing, runny nose, sore throat, cough","cetirizine, azithromycin"
"fever, bacterial infection, stomach pain, runny nose, allergy","paracetamol, cetirizine, azithromycin, aciloc"
"headache, runny nose","cetirizine, diclofenac"
"fever, sore throat, bacterial infection, acidity","paracetamol, azithromycin, aciloc"
acidity,aciloc
"swelling, acidity, fever, bacterial infection","paracetamol, azithromycin, diclofenac, aciloc"
cough,azithromycin
body pain,diclofenac
"cold, allergy, acidity, runny nose","cetirizine, aciloc"
"cold, sore throat","cetirizine, azithromycin"
"cold, swelling","cetirizine, diclofenac"
"stomach pain, headache, acidity","diclofenac, aciloc"
swelling,diclofenac
"acidity, bacterial infection","azithromycin, aciloc"
"acidity, sneezing","cetirizine, aciloc"
headache,diclofenac
body pain,diclofenac
"runny nose, acidity, inflammation, headache, sneezing","cetirizine, diclofenac, aciloc"
"sneezing, swelling, headache, body pain","cetirizine, diclofenac"
"cough, runny nose, allergy","cetirizine, azithromycin"
allergy,cetirizine
"runny nose, stomach pain","cetirizine, aciloc"
"cold, body pain, cough, swelling, headache","cetirizine, azithromycin, diclofenac"
"acidity, inflammation, sneezing, stomach pain","cetirizine, diclofenac, aciloc"
"acidity, cough, bacterial infection","azithromycin, aciloc"
"sneezing, runny nose, sore throat, acidity","cetirizine, azithromycin, aciloc"
"body pain, sneezing","cetirizine, diclofenac"
"fever, sore throat, cold","paracetamol, cetirizine, azithromycin"
"bacterial infection, fever, allergy","paracetamol, cetirizine, azithromycin"
"sneezing, acidity, cold","cetirizine, aciloc"
inflammation,diclofenac
"sore throat, fever, acidity, cough","paracetamol, azithromycin, aciloc"
"inflammation, headache, swelling, fever","paracetamol, diclofenac"
"headache, stomach pain","diclofenac, aciloc"
"inflammation, allergy, sore throat, cold, sneezing","cetirizine, azithromycin, diclofenac"
"allergy, runny nose, inflammation, swelling, acidity","cetirizine, diclofenac, aciloc"
"headache, acidity, allergy, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, bacterial infection","azithromycin, aciloc"
"swelling, acidity, cough","azithromycin, diclofenac, aciloc"
"sneezing, swelling, runny nose, sore throat","cetirizine, azithromycin, diclofenac"
"swelling, allergy, inflammation","cetirizine, diclofenac"
"acidity, swelling, sore throat, cold, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"headache, acidity, stomach pain","diclofenac, aciloc"
"swelling, bacterial infection, body pain","azithromycin, diclofenac"
sore throat,azithromycin
"bacterial infection, swelling, stomach pain","azithromycin, diclofenac, aciloc"
"acidity, body pain","diclofenac, aciloc"
bacterial infection,azithromycin
"swelling, cold","cetirizine, diclofenac"
"bacterial infection, swelling","azithromycin, diclofenac"
"acidity, cough, bacterial infection, body pain, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, sore throat, fever, body pain","paracetamol, azithromycin, aciloc"
"cough, allergy, swelling, sneezing, cold","cetirizine, azithromycin, diclofenac"
"bacterial infection, sneezing","cetirizine, azithromycin"
"headache, cough, sneezing, fever, bacterial infection","paracetamol, cetirizine, azithromycin"
"stomach pain, allergy","cetirizine, aciloc"
sneezing,cetirizine
headache,diclofenac
"swelling, bacterial infection, acidity, headache","azithromycin, diclofenac, aciloc"
sneezing,cetirizine
"inflammation, cold","cetirizine, diclofenac"
"runny nose, sneezing, sore throat","cetirizine, azithromycin"
fever,paracetamol
"bacterial infection, allergy","cetirizine, azithromycin"
"swelling, fever","paracetamol, diclofenac"
"cough, cold, inflammation","cetirizine, azithromycin, diclofenac"
"sneezing, allergy, cough, cold","cetirizine, azithromycin"
"cold, runny nose, stomach pain, sneezing","cetirizine, aciloc"
"stomach pain, inflammation, headache","diclofenac, aciloc"
"fever, allergy, swelling, bacterial infection, sneezing","paracetamol, cetirizine, azithromycin, diclofenac"
"acidity, headache","diclofenac, aciloc"
"bacterial infection, body pain, sneezing, swelling","cetirizine, azithromycin, diclofenac"
"acidity, swelling, headache","diclofenac, aciloc"
"body pain, bacterial infection, sore throat, sneezing","cetirizine, azithromycin, diclofenac"
headache,diclofenac
sneezing,cetirizine
"acidity, headache, swelling, cold","cetirizine, diclofenac, aciloc"
"stomach pain, body pain, inflammation, allergy","cetirizine, diclofenac, aciloc"
"runny nose, stomach pain, headache, cough","cetirizine, azithromycin, diclofenac, aciloc"
"stomach pain, cough, sneezing, cold, body pain","cetirizine, azithromycin, diclofenac, aciloc"
stomach pain,aciloc
"cold, bacterial infection, runny nose, inflammation, body pain","cetirizine, azithromycin, diclofenac"
"stomach pain, fever, headache","paracetamol, aciloc"
"swelling, fever, cough, body pain, sneezing","paracetamol, cetirizine, azithromycin, diclofenac"
"headache, sore throat, runny nose","cetirizine, azithromycin, diclofenac"
"cough, allergy, stomach pain, bacterial infection, fever","paracetamol, cetirizine, azithromycin, aciloc"
"stomach pain, fever, acidity, runny nose, inflammation","paracetamol, cetirizine, diclofenac, aciloc"
"stomach pain, swelling, headache","diclofenac, aciloc"
"swelling, sore throat, stomach pain","azithromycin, diclofenac, aciloc"
fever,paracetamol
sore throat,azithromycin
"runny nose, cold, bacterial infection, acidity, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, sore throat, sneezing, body pain","cetirizine, azithromycin, diclofenac, aciloc"
"cold, fever, allergy, stomach pain","paracetamol, cetirizine, aciloc"
sore throat,azithromycin
"headache, runny nose","cetirizine, diclofenac"
"swelling, headache, allergy, sore throat, inflammation","cetirizine, azithromycin, diclofenac"
"sneezing, swelling, body pain, headache, acidity","cetirizine, diclofenac, aciloc"
"bacterial infection, inflammation, sneezing, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"bacterial infection, cough",azithromycin
"allergy, body pain","cetirizine, diclofenac"
swelling,diclofenac
swelling,diclofenac
bacterial infection,azithromycin
"runny nose, stomach pain","cetirizine, aciloc"
"inflammation, body pain, fever","paracetamol, diclofenac"
"sore throat, sneezing","cetirizine, azithromycin"
"allergy, swelling, runny nose","cetirizine, diclofenac"
"bacterial infection, body pain, acidity, inflammation","azithromycin, diclofenac, aciloc"
"headache, sore throat, cold","cetirizine, azithromycin, diclofenac"
"runny nose, acidity","cetirizine, aciloc"
"swelling, bacterial infection","azithromycin, diclofenac"
"cold, runny nose",cetirizine
"acidity, stomach pain, body pain, swelling, cold","cetirizine, diclofenac, aciloc"
"stomach pain, cold","cetirizine, aciloc"
swelling,diclofenac
"swelling, fever","paracetamol, diclofenac"
"acidity, allergy, runny nose, sneezing","cetirizine, aciloc"
"allergy, sneezing",cetirizine
"fever, cough, runny nose","paracetamol, cetirizine, azithromycin"
"inflammation, cough","azithromycin, diclofenac"
"stomach pain, fever, allergy","paracetamol, cetirizine, aciloc"
bacterial infection,azithromycin
"sneezing, sore throat, cough, allergy","cetirizine, azithromycin"
body pain,diclofenac
"body pain, acidity, stomach pain, runny nose, headache","cetirizine, diclofenac, aciloc"
"fever, runny nose","paracetamol, cetirizine"
"stomach pain, runny nose, fever, inflammation, bacterial infection","azithromycin, aciloc, paracetamol, cetirizine, diclofenac"
"sneezing, allergy",cetirizine
"runny nose, sneezing, allergy, fever, cough","paracetamol, cetirizine, azithromycin"
cough,azithromycin
"inflammation, acidity, stomach pain, cough","azithromycin, diclofenac, aciloc"
cold,cetirizine
"cold, acidity","cetirizine, aciloc"
"runny nose, stomach pain, swelling, cough","cetirizine, azithromycin, diclofenac, aciloc"
"allergy, cold, headache","cetirizine, diclofenac"
"cough, cold, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"stomach pain, allergy, bacterial infection, cough","cetirizine, azithromycin, aciloc"
cough,azithromycin
"acidity, inflammation, swelling","diclofenac, aciloc"
"runny nose, inflammation, bacterial infection","cetirizine, azithromycin, diclofenac"
"runny nose, fever, acidity","paracetamol, cetirizine, aciloc"
"inflammation, allergy, sore throat","cetirizine, azithromycin, diclofenac"
"cold, swelling, inflammation, cough, allergy","cetirizine, azithromycin, diclofenac"
"cough, acidity, cold, body pain, runny nose","cetirizine, azithromycin, diclofenac, aciloc"
"headache, sneezing, body pain, allergy, fever","paracetamol, cetirizine"
"stomach pain, acidity, cough, cold","cetirizine, azithromycin, aciloc"
"allergy, stomach pain, runny nose","cetirizine, aciloc"
"fever, sore throat, cough, acidity","paracetamol, azithromycin, aciloc"
"bacterial infection, sneezing, headache, allergy","cetirizine, azithromycin, diclofenac"
"cough, acidity","azithromycin, aciloc"
"allergy, body pain, sneezing, fever","paracetamol, cetirizine"
"allergy, sneezing",cetirizine
"fever, body pain, cold, bacterial infection, swelling","paracetamol, cetirizine, azithromycin, diclofenac"
"fever, sore throat, cold","paracetamol, cetirizine, azithromycin"
"headache, cold, stomach pain, bacterial infection, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, allergy","cetirizine, aciloc"
cold,cetirizine
"stomach pain, swelling","diclofenac, aciloc"
"headache, sore throat, cold, allergy, acidity","cetirizine, azithromycin, diclofenac, aciloc"
"inflammation, allergy, bacterial infection","cetirizine, azithromycin, diclofenac"
runny nose,cetirizine
headache,diclofenac
"body pain, cold, headache, inflammation, sneezing","cetirizine, diclofenac"
bacterial infection,azithromycin
runny nose,cetirizine
"acidity, runny nose","cetirizine, aciloc"
"bacterial infection, sore throat, fever","paracetamol, azithromycin"
bacterial infection,azithromycin
"runny nose, cold, fever","paracetamol, cetirizine"
"cough, headache","azithromycin, diclofenac"
"body pain, fever",paracetamol
"cold, headache, cough","cetirizine, azithromycin, diclofenac"
sneezing,cetirizine
"cold, acidity, swelling, body pain, bacterial infection","cetirizine, azithromycin, diclofenac, aciloc"
"acidity, stomach pain, fever, sneezing","paracetamol, cetirizine, aciloc"
headache,diclofenac
"runny nose, inflammation","cetirizine, diclofenac"
fever,paracetamol
"acidity, allergy","cetirizine, aciloc"
"acidity, sore throat, runny nose, inflammation","cetirizine, azithromycin, diclofenac, aciloc"
"swelling, body pain, cold, cough, allergy","cetirizine, azithromycin, diclofenac"
"allergy, body pain, runny nose, stomach pain","cetirizine, diclofenac, aciloc"
cough,azithromycin
inflammation,diclofenac
allergy,cetirizine
"stomach pain, runny nose, headache","cetirizine, diclofenac, aciloc"
"runny nose, stomach pain","cetirizine, aciloc"
"sneezing, swelling","cetirizine, diclofenac"
"fever, cold, sore throat, sneezing","paracetamol, cetirizine, azithromycin"
headache,diclofenac
cold,cetirizine
"fever, acidity, swelling","paracetamol, diclofenac, aciloc"
"stomach pain, cough","azithromycin, aciloc"
"runny nose, inflammation, cough, sneezing","cetirizine, azithromycin, diclofenac"
"cold, fever, swelling, sore throat","paracetamol, cetirizine, azithromycin, diclofenac"
"sneezing, allergy, sore throat, cough","cetirizine, azithromycin"
"fever, inflammation, allergy, body pain, runny nose","paracetamol, cetirizine, diclofenac"
"body pain, fever, sneezing, cough","paracetamol, cetirizine, azithromycin"
"swelling, cough, body pain","azithromycin, diclofenac"
